time,open,high,low,close,tick_volume,spread,real_volume
2026-04-17 09:00:00+00:00,4793.98,4795.12,4786.57,4787.48,3949,31,0
2026-04-17 09:15:00+00:00,4787.5,4789.63,4783.2,4783.63,3460,30,0
2026-04-17 09:30:00+00:00,4783.59,4786.9,4779.05,4785.36,4343,30,0
2026-04-17 09:45:00+00:00,4785.34,4787.0,4783.73,4784.83,3598,34,0
2026-04-17 10:00:00+00:00,4784.85,4790.89,4783.99,4787.09,2618,30,0
2026-04-17 10:15:00+00:00,4787.14,4792.76,4784.61,4791.48,2083,32,0
2026-04-17 10:30:00+00:00,4791.51,4794.56,4782.25,4785.77,2563,30,0
2026-04-17 10:45:00+00:00,4785.78,4786.01,4778.51,4784.18,2789,30,0
2026-04-17 11:00:00+00:00,4784.18,4790.89,4780.74,4783.42,2695,30,0
2026-04-17 11:15:00+00:00,4783.35,4786.97,4782.5,4784.31,2085,30,0
2026-04-17 11:30:00+00:00,4784.31,4796.71,4784.23,4796.7,2332,30,0
2026-04-17 11:45:00+00:00,4796.73,4796.73,4790.84,4795.71,2588,30,0
2026-04-17 12:00:00+00:00,4795.7,4800.68,4792.54,4792.9,2165,30,0
2026-04-17 12:15:00+00:00,4792.91,4798.27,4791.85,4795.74,2263,30,0
2026-04-17 12:30:00+00:00,4795.77,4798.89,4793.9,4794.46,2237,30,0
2026-04-17 12:45:00+00:00,4794.58,4795.03,4789.84,4790.19,2585,30,0
2026-04-17 13:00:00+00:00,4790.22,4791.95,4786.9,4791.2,2852,30,0
2026-04-17 13:15:00+00:00,4791.19,4793.82,4788.45,4789.31,2204,32,0
2026-04-17 13:30:00+00:00,4789.32,4789.64,4782.24,4784.79,2053,33,0
2026-04-17 13:45:00+00:00,4784.78,4788.05,4782.12,4787.2,2486,30,0
2026-04-17 14:00:00+00:00,4787.21,4789.52,4783.43,4786.15,2146,30,0
2026-04-17 14:15:00+00:00,4786.22,4793.13,4784.41,4792.76,1813,30,0
2026-04-17 14:30:00+00:00,4792.77,4798.54,4789.58,4798.48,2179,30,0
2026-04-17 14:45:00+00:00,4798.49,4811.52,4798.44,4798.9,4126,30,0
2026-04-17 15:00:00+00:00,4798.91,4805.41,4797.51,4803.58,3366,30,0
2026-04-17 15:15:00+00:00,4803.6,4819.52,4802.92,4816.71,4624,30,0
2026-04-17 15:30:00+00:00,4816.77,4824.94,4815.19,4823.23,4552,30,0
2026-04-17 15:45:00+00:00,4823.37,4847.57,4821.55,4846.16,7892,30,0
2026-04-17 16:00:00+00:00,4846.15,4889.24,4834.75,4882.99,8250,30,0
2026-04-17 16:15:00+00:00,4883.09,4883.65,4850.29,4851.28,7770,30,0
2026-04-17 16:30:00+00:00,4851.38,4873.41,4848.12,4864.28,7853,30,0
2026-04-17 16:45:00+00:00,4864.75,4881.89,4851.88,4880.16,7681,30,0
2026-04-17 17:00:00+00:00,4880.29,4885.31,4860.61,4866.9,6940,30,0
2026-04-17 17:15:00+00:00,4866.91,4880.29,4865.58,4871.24,6741,30,0
2026-04-17 17:30:00+00:00,4871.33,4882.94,4869.21,4877.32,6588,30,0
2026-04-17 17:45:00+00:00,4877.41,4881.22,4869.68,4872.97,6232,30,0
2026-04-17 18:00:00+00:00,4873.14,4880.42,4862.24,4867.76,6349,30,0
2026-04-17 18:15:00+00:00,4867.73,4874.38,4862.82,4865.88,5854,30,0
2026-04-17 18:30:00+00:00,4866.12,4873.96,4854.65,4858.78,5282,30,0
2026-04-17 18:45:00+00:00,4858.7,4871.65,4857.95,4867.27,5901,30,0
2026-04-17 19:00:00+00:00,4867.26,4873.22,4863.46,4871.37,5679,30,0
2026-04-17 19:15:00+00:00,4871.4,4873.27,4867.47,4867.55,5481,30,0
2026-04-17 19:30:00+00:00,4867.62,4872.76,4867.29,4868.12,3622,30,0
2026-04-17 19:45:00+00:00,4868.2,4868.7,4864.85,4866.82,3723,30,0
2026-04-17 20:00:00+00:00,4866.84,4869.45,4857.49,4862.6,5736,30,0
2026-04-17 20:15:00+00:00,4862.62,4864.88,4853.61,4858.34,6672,30,0
2026-04-17 20:30:00+00:00,4858.35,4862.93,4854.17,4854.93,4962,30,0
2026-04-17 20:45:00+00:00,4854.77,4863.25,4854.73,4862.42,4096,30,0
2026-04-17 21:00:00+00:00,4862.45,4866.31,4860.2,4860.92,4103,30,0
2026-04-17 21:15:00+00:00,4860.98,4867.94,4858.72,4860.57,4192,30,0
2026-04-17 21:30:00+00:00,4860.52,4866.59,4860.25,4862.21,3334,30,0
2026-04-17 21:45:00+00:00,4862.1,4862.97,4855.85,4858.01,3480,33,0
2026-04-17 22:00:00+00:00,4858.0,4858.71,4853.68,4856.4,3495,31,0
2026-04-17 22:15:00+00:00,4856.39,4857.91,4854.06,4856.66,3532,30,0
2026-04-17 22:30:00+00:00,4856.67,4861.19,4855.71,4860.09,4356,30,0
2026-04-17 22:45:00+00:00,4859.67,4860.09,4852.59,4854.3,5623,30,0
2026-04-17 23:00:00+00:00,4854.4,4855.0,4844.46,4845.76,3386,30,0
2026-04-17 23:15:00+00:00,4845.77,4851.89,4844.44,4845.74,2615,30,0
2026-04-17 23:30:00+00:00,4845.71,4846.57,4833.59,4835.28,2624,32,0
2026-04-17 23:45:00+00:00,4835.26,4837.22,4829.82,4832.26,2523,54,0
2026-04-20 01:00:00+00:00,4792.25,4794.0,4757.92,4789.37,4417,52,0
2026-04-20 01:15:00+00:00,4789.57,4794.37,4783.56,4784.83,2279,78,0
2026-04-20 01:30:00+00:00,4784.85,4790.74,4779.23,4780.43,3765,34,0
2026-04-20 01:45:00+00:00,4780.39,4786.75,4777.87,4779.18,3076,46,0
2026-04-20 02:00:00+00:00,4779.19,4779.32,4771.91,4772.26,3876,36,0
2026-04-20 02:15:00+00:00,4772.27,4775.72,4768.03,4769.04,3003,30,0
2026-04-20 02:30:00+00:00,4769.06,4773.24,4744.99,4751.8,4275,30,0
2026-04-20 02:45:00+00:00,4751.71,4755.31,4736.73,4755.05,5566,30,0
2026-04-20 03:00:00+00:00,4755.16,4755.16,4744.73,4752.1,5807,36,0
2026-04-20 03:15:00+00:00,4752.14,4765.66,4751.73,4765.17,4167,30,0
2026-04-20 03:30:00+00:00,4765.2,4767.92,4760.9,4764.22,3229,30,0
2026-04-20 03:45:00+00:00,4764.23,4774.09,4759.45,4772.27,3785,30,0
2026-04-20 04:00:00+00:00,4772.18,4794.31,4771.14,4793.52,6397,30,0
2026-04-20 04:15:00+00:00,4793.54,4803.61,4788.45,4802.79,4515,30,0
2026-04-20 04:30:00+00:00,4802.8,4812.16,4801.29,4806.46,4947,30,0
